tank_num, date, int_pos,pair_id,status, phase, cond, subject, app_int, app_n, app_p, fsp_int, fsp_n, fsp_p, sb_int, sb_n, sb_p, mwr_p, l_int, l_n
F6A, 2017.04.18,A,4,S, habituation,control, nf,1,0,3,0,0,0,0,0,0,0,68.6360,121.558
F6A, 2017.04.21,A,4,S,experiment,control, m,14,0,0,2,1,0,0,0,0,0,40.7000,96.272
F6A, 2017.04.21,A,4,S,experiment,control, f,46,0,5,0,0,0,2,0,0,0,1.8350,121.835
F6A, 2017.04.18,B,4,S, habituation,control, nm,0,0,0,4,0,0,0,0,0,0,26.8040,120.486
F6A, 2017.04.18,B,4,S, habituation,control, nf,0,0,0,1,0,0,0,0,0,0,42.2260,120.486
F6A, 2017.04.21,B,4,S,experiment,control, m,8,1,0,2,0,0,0,0,0,0,54.5850,114.621
F6A, 2017.04.21,B,4,S,experiment,control, f,32,0,3,0,0,0,0,0,0,0,0.7110,120.711
F6B, 2017.04.18,C,4,S, habituation,control, m,10,4,3,4,0,0,0,0,0,0,10.2200,39.045
F6B, 2017.04.18,C,4,S, habituation,control, f,38,0,4,3,0,0,0,0,0,0,0.5730,120.573
F6B, 2017.04.21,C,4,S,experiment,control, nm,3,0,0,8,0,0,0,0,0,0,4.1000,120.316
F6B, 2017.04.21,C,4,S,experiment,control, nf,4,0,2,6,0,0,0,0,0,0,1.7100,120.316
F6B, 2017.04.18,D,4,S, habituation,control, m,8,1,6,0,3,0,0,0,0,0,3.6320,54.404
F6B, 2017.04.18,D,4,S, habituation,control, f,14,0,0,3,0,2,1,0,2,0,6.8730,123.632
F6B, 2017.04.21,D,4,S,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,120.0020,120.002
F6B, 2017.04.21,D,4,S,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.0020,120.002
F1A, 2017.04.28,A,5,F, habituation,treatment, m,17,0,1,3,0,0,0,0,0,0,4.6220,124.622
F1A, 2017.04.28,A,5,F, habituation,treatment, f,1,0,0,1,0,0,0,0,0,1,114.5690,124.622
F1A, 2017.05.01,A,5,F,experiment,treatment, m,17,0,6,3,1,0,0,0,0,0,33.4030,153.403
F1A, 2017.05.01,A,5,F,experiment,treatment, f,0,0,0,7,0,0,0,0,0,0,38.3830,153.403
F1A, 2017.04.28,B,5,F, habituation,treatment, m,32,0,0,2,0,0,0,0,0,0,0.7850,120.785
F1A, 2017.04.28,B,5,F, habituation,treatment, f,30,0,5,2,0,1,0,0,0,0,15.3170,120.785
F1A, 2017.05.01,B,5,F,experiment,treatment, m,22,0,1,0,0,2,0,0,0,0,8.1370,128.137
F1A, 2017.05.01,B,5,F,experiment,treatment, f,2,0,3,4,1,2,0,0,0,0,17.0590,49.919
F1B, 2017.04.28,C,5,F, habituation,treatment, nm,3,0,0,6,0,0,0,0,0,0,22.5710,124.156
F1B, 2017.04.28,C,5,F, habituation,treatment, nf,2,0,5,2,0,0,0,0,0,0,13.2470,124.156
F1B, 2017.05.01,C,5,F,experiment,treatment, nm,0,0,0,2,1,0,0,0,0,0,27.2480,98.269
F1B, 2017.05.01,C,5,F,experiment,treatment, nf,0,0,0,2,0,0,0,0,0,0,33.7100,124.5
F1B, 2017.04.28,D,5,F, habituation,treatment, nm,0,0,0,0,0,0,0,0,0,0,128.2580,128.258
F1B, 2017.04.28,D,5,F, habituation,treatment, nf,0,2,1,0,1,0,0,0,0,0,128.2580,25.043
F1B, 2017.05.01,D,5,F,experiment,treatment, nm,0,0,0,0,1,0,0,0,0,0,124.1760,31.398
F1B, 2017.05.01,D,5,F,experiment,treatment, nf,0,0,0,0,2,0,0,0,0,0,124.1760,29.341
F1A, 2017.04.28,A,6,S, habituation,treatment, nm,0,0,0,0,0,0,0,0,0,0,124.6220,124.622
F1A, 2017.04.28,A,6,S, habituation,treatment, nf,0,0,0,0,0,0,0,0,0,0,124.6220,124.622
F2A, 2017.05.01,A,6,S,experiment,treatment, nm,0,0,0,0,1,0,0,0,0,0,120.0080,106.525
F2A, 2017.05.01,A,6,S,experiment,treatment, nf,0,0,0,0,0,0,0,0,0,0,120.0080,120.008
F1A, 2017.04.28,B,6,S, habituation,treatment, nm,0,0,0,0,0,0,0,0,0,0,120.7850,120.785
F1A, 2017.04.28,B,6,S, habituation,treatment, nf,0,0,0,1,0,0,0,0,0,0,40.3040,120.785
F2A, 2017.05.01,B,6,S,experiment,treatment, nm,7,0,1,3,0,0,0,0,0,0,7.4190,120.932
F2A, 2017.05.01,B,6,S,experiment,treatment, nf,1,0,4,0,0,1,0,0,0,0,14.7990,120.932
F1B, 2017.04.28,C,6,S, habituation,treatment, m,6,0,0,3,2,0,0,0,0,0,12.4360,115.688
F1B, 2017.04.28,C,6,S, habituation,treatment, f,13,0,6,0,0,0,0,0,0,0,4.1560,124.156
F2B, 2017.05.01,C,6,S,experiment,treatment, m,4,2,5,2,1,4,0,0,0,0,4.1090,74.484
F2B, 2017.05.01,C,6,S,experiment,treatment, f,13,0,8,0,1,5,1,0,0,0,3.8270,111.697
F1B, 2017.04.28,D,6,S, habituation,treatment, m,9,0,0,5,0,0,0,0,0,0,67.2530,128.258
F1B, 2017.04.28,D,6,S, habituation,treatment, f,15,0,5,1,1,0,0,0,0,0,8.2580,118.224
F2B, 2017.05.01,D,6,S,experiment,treatment, m,5,0,2,1,5,1,0,0,0,0,113.7550,35.203
F2B, 2017.05.01,D,6,S,experiment,treatment, f,5,0,8,0,2,0,0,0,0,0,86.4830,97.006
F2A, 2017.04.28,A,7,F, habituation,treatment, m,3,0,1,1,0,1,0,0,0,0,44.7100,120.851
F2A, 2017.04.28,A,7,F, habituation,treatment, f,1,0,10,1,0,0,0,0,0,0,0.8510,120.851
F2A, 2017.05.01,A,7,F,experiment,treatment, m,39,0,1,3,1,0,0,0,0,0,0.0080,48.618
F2A, 2017.05.01,A,7,F,experiment,treatment, f,19,0,6,1,6,1,0,0,0,0,3.2910,41.482
F2A, 2017.04.28,B,7,F, habituation,treatment, m,3,0,0,0,0,0,0,0,0,0,57.7600,120.318
F2A, 2017.04.28,B,7,F, habituation,treatment, f,8,0,0,2,0,1,0,0,0,0,0.3180,120.318
F2A, 2017.05.01,B,7,F,experiment,treatment, m,31,0,0,2,0,1,0,0,0,0,0.9320,120.932
F2A, 2017.05.01,B,7,F,experiment,treatment, f,8,0,1,5,0,0,0,0,0,0,1.3070,120.932
F2B, 2017.04.28,C,7,F, habituation,treatment, nm,3,0,0,6,0,0,0,0,0,0,26.2410,126.057
F2B, 2017.04.28,C,7,F, habituation,treatment, nf,1,0,4,2,0,1,0,0,0,0,15.2590,126.057
F2B, 2017.05.01,C,7,F,experiment,treatment, nm,3,1,0,6,2,0,0,0,0,0,9.9020,62.282
F2B, 2017.05.01,C,7,F,experiment,treatment, nf,3,1,0,2,0,0,0,0,0,0,19.9490,82.072
F2B, 2017.04.28,D,7,F, habituation,treatment, nm,0,0,0,0,0,0,0,0,0,0,120.5210,120.521
F2B, 2017.04.28,D,7,F, habituation,treatment, nf,0,0,0,0,1,0,0,0,0,0,120.5210,67.456
F2B, 2017.05.01,D,7,F,experiment,treatment, nm,0,2,0,3,3,0,0,0,0,0,109.6430,43.706
F2B, 2017.05.01,D,7,F,experiment,treatment, nf,0,0,0,0,0,0,0,0,0,0,155.2030,155.203
F2A, 2017.04.28,A,8,S, habituation,treatment, nm,0,0,0,0,0,0,0,0,0,0,120.8510,120.851
F2A, 2017.04.28,A,8,S, habituation,treatment, nf,0,0,0,0,0,0,0,0,0,0,120.8510,120.851
F1A, 2017.05.01,A,8,S,experiment,treatment, nm,0,0,0,0,0,0,0,0,0,0,153.4030,153.403
F1A, 2017.05.01,A,8,S,experiment,treatment, nf,0,0,3,0,0,2,0,0,0,0,153.4030,153.403
F2A, 2017.04.28,B,8,S, habituation,treatment, nm,0,0,1,1,0,0,0,0,0,0,83.9160,120.318
F2A, 2017.04.28,B,8,S, habituation,treatment, nf,0,0,2,0,0,1,0,0,0,0,120.3180,120.318
F1A, 2017.05.01,B,8,S,experiment,treatment, nm,3,0,0,2,1,0,0,0,0,0,18.3280,51.88
F1A, 2017.05.01,B,8,S,experiment,treatment, nf,0,1,5,2,0,3,0,0,0,0,119.2620,51.88
F2B, 2017.04.28,C,8,S, habituation,treatment, m,9,2,0,2,0,0,0,0,0,0,15.2590,19.138
F2B, 2017.04.28,C,8,S, habituation,treatment, f,12,0,6,0,0,0,0,0,0,0,6.0570,126.057
F1B, 2017.05.01,C,8,S,experiment,treatment, m,5,0,0,2,2,1,0,0,0,0,4.5000,103.04
F1B, 2017.05.01,C,8,S,experiment,treatment, f,5,0,20,0,1,3,0,0,0,0,40.0280,103.909
F2B, 2017.04.28,D,8,S, habituation,treatment, m,2,0,1,5,1,0,0,0,0,0,6.0600,60.181
F2B, 2017.04.28,D,8,S, habituation,treatment, f,0,0,3,9,1,1,0,0,0,0,0.5210,72.293
F1B, 2017.05.01,D,8,S,experiment,treatment, m,13,0,5,0,2,1,0,0,0,0,56.7750,70.673
F1B, 2017.05.01,D,8,S,experiment,treatment, f,12,0,16,3,2,4,0,0,0,0,4.1760,70.673
F5A, 2017.04.28,A,9,F, habituation,control, m,20,0,0,1,3,0,0,0,0,0,27.0940,100.856
F5A, 2017.04.28,A,9,F, habituation,control, f,4,0,0,2,1,0,0,0,0,0,41.9520,113.366
F5A, 2017.05.01,A,9,F,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,120.8060,120.806
F5A, 2017.05.01,A,9,F,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.8060,120.806
F5A, 2017.04.28,B,9,F, habituation,control, m,2,0,0,2,2,0,0,0,0,0,16.9540,49.519
F5A, 2017.04.28,B,9,F, habituation,control, f,9,0,5,2,1,0,0,0,0,0,16.9540,56.644
F5A, 2017.05.01,B,9,F,experiment,control, nm,0,0,1,0,0,0,0,0,0,0,120.0000,120.0000
F5A, 2017.05.01,B,9,F,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.0000,120.0000
F5B, 2017.04.28,C,9,F, habituation,control, nm,2,4,0,3,2,0,0,0,0,0,22.2240,5.874
F5B, 2017.04.28,C,9,F, habituation,control, nf,0,5,0,2,2,0,0,0,0,0,23.2030,9.201
F5B, 2017.05.01,C,9,F,experiment,control, m,18,0,0,0,1,0,0,0,0,0,20.5680,72.881
F5B, 2017.05.01,C,9,F,experiment,control, f,4,0,0,2,3,0,0,0,0,0,21.9070,47.123
F5B, 2017.04.28,D,9,F, habituation,control, nm,0,0,0,0,1,0,0,0,0,0,120.0000,37.605
F5B, 2017.04.28,D,9,F, habituation,control, nf,0,0,0,0,1,0,0,0,0,0,120.0000,36.501
F5B, 2017.05.01,D,9,F,experiment,control, m,31,0,0,1,3,0,0,0,0,0,15.2330,61.889
F5B, 2017.05.01,D,9,F,experiment,control, f,22,1,4,3,5,0,0,0,0,0,15.2330,28.599
F5A, 2017.04.28,A,10,S, habituation,control, nm,0,8,0,0,0,0,0,0,0,0,147.0940,71.282
F5A, 2017.04.28,A,10,S, habituation,control, nf,0,0,0,0,0,0,0,0,0,0,147.0940,147.094
F5A, 2017.05.01,A,10,S,experiment,control, m,11,11,0,9,7,0,0,0,0,0,0.8060,5.558
F5A, 2017.05.01,A,10,S,experiment,control, f,17,0,0,1,7,0,0,0,0,0,0.8060,27.635
F5A, 2017.04.28,B,10,S, habituation,control, nm,6,4,0,6,0,0,0,0,0,0,20.3800,41.046
F5A, 2017.04.28,B,10,S, habituation,control, nf,2,0,0,7,0,0,0,0,0,0,20.3800,136.954
F5A, 2017.05.01,B,10,S,experiment,control, m,23,1,0,0,0,0,0,0,0,0,0.0000,2.511
F5A, 2017.05.01,B,10,S,experiment,control, f,14,0,1,3,0,0,0,0,0,0,0.0000,120.0000
F5B, 2017.04.28,C,10,S, habituation,control, m,24,3,0,1,2,0,0,0,0,0,7.1850,83.92
F5B, 2017.04.28,C,10,S, habituation,control, f,28,2,0,0,3,0,0,0,0,0,0.6940,83.92
F5B, 2017.05.01,C,10,S,experiment,control, nm,11,5,0,1,0,0,0,0,0,0,1.2180,3.725
F5B, 2017.05.01,C,10,S,experiment,control, nf,1,0,0,0,0,0,0,0,0,0,26.2430,121.218
F5B, 2017.04.28,D,10,S, habituation,control, m,24,0,0,3,2,0,0,0,0,0,4.1350,24.693
F5B, 2017.04.28,D,10,S, habituation,control, f,29,1,0,2,2,0,2,0,0,0,0.0000,23.438
F5B, 2017.05.01,D,10,S,experiment,control, nm,0,7,0,0,6,0,0,0,0,0,121.8480,1.848
F5B, 2017.05.01,D,10,S,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,121.8480,121.848
F6A, 2017.04.28,A,11,F, habituation,control, m,46,0,1,0,0,0,0,0,0,0,5.6630,125.663
F6A, 2017.04.28,A,11,F, habituation,control, f,21,0,9,4,0,0,0,0,0,0,29.7470,125.663
F6A, 2017.05.01,A,11,F,experiment,control, nm,2,0,0,0,0,0,0,0,0,0,3.9340,123.934
F6A, 2017.05.01,A,11,F,experiment,control, nf,0,0,3,1,0,0,0,0,0,0,63.3220,123.934
F6A, 2017.04.28,B,11,F, habituation,control, m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6A, 2017.04.28,B,11,F, habituation,control, f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6A, 2017.05.01,B,11,F,experiment,control, nm,13,3,0,0,0,0,0,0,0,0,3.1420,34.248
F6A, 2017.05.01,B,11,F,experiment,control, nf,3,0,0,3,2,0,0,0,0,0,4.8070,46.347
F6B, 2017.04.28,C,11,F, habituation,control, nm,4,4,0,0,0,0,0,0,0,0,107.3610,21.614
F6B, 2017.04.28,C,11,F, habituation,control, nf,0,0,4,0,4,0,0,0,0,0,122.4450,76.867
F6B, 2017.05.01,C,11,F,experiment,control, m,44,0,1,2,0,1,0,0,0,0,3.6590,123.659
F6B, 2017.05.01,C,11,F,experiment,control, f,8,0,8,9,0,1,0,0,0,0,11.1330,123.659
F6B, 2017.04.28,D,11,F, habituation,control, nm,0,0,0,0,0,0,0,0,0,0,123.3340,123.334
F6B, 2017.04.28,D,11,F, habituation,control, nf,0,0,2,0,0,0,0,0,0,0,123.3340,123.334
F6B, 2017.05.01,D,11,F,experiment,control, m,51,0,3,0,0,0,0,0,0,0,0.7930,120.172
F6B, 2017.05.01,D,11,F,experiment,control, f,25,0,4,8,1,1,0,0,1,0,0.1720,79.8
F6A, 2017.04.28,A,12,S, habituation,control, nm,0,0,0,0,0,0,0,0,0,0,125.6630,125.663
F6A, 2017.04.28,A,12,S, habituation,control, nf,0,0,0,0,0,0,0,0,0,0,125.6630,125.663
F6A, 2017.05.01,A,12,S,experiment,control, m,9,0,3,4,1,0,0,0,0,0,7.9450,91.976
F6A, 2017.05.01,A,12,S,experiment,control, f,6,0,2,3,0,0,0,0,0,0,7.2860,123.934
F6A, 2017.04.28,B,12,S, habituation,control, nm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6A, 2017.04.28,B,12,S, habituation,control, nf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6A, 2017.05.01,B,12,S,experiment,control, m,8,0,0,5,1,0,0,0,0,0,13.8950,20.247
F6A, 2017.05.01,B,12,S,experiment,control, f,7,0,0,2,1,0,0,0,0,0,7.6630,52.277
F6B, 2017.04.28,C,12,S, habituation,control, m,2,6,0,0,1,0,0,0,0,0,2.4450,20.715
F6B, 2017.04.28,C,12,S, habituation,control, f,3,1,1,0,0,0,0,0,0,0,17.2700,24.771
F6B, 2017.05.01,C,12,S,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,123.6590,123.659
F6B, 2017.05.01,C,12,S,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,123.6590,123.659
F6B, 2017.04.28,D,12,S, habituation,control, m,13,0,0,2,2,0,0,0,0,0,3.3340,45.985
F6B, 2017.04.28,D,12,S, habituation,control, f,11,0,1,2,0,0,1,0,0,0,20.0640,123.334
F6B, 2017.05.01,D,12,S,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,120.1720,120.172
F6B, 2017.05.01,D,12,S,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.1720,120.172
F1A, 2017.05.07,A,13,F, habituation,control, m,29,0,0,0,0,0,1,0,0,0,27.9650,130.418
F1A, 2017.05.07,A,13,F, habituation,control, f,21,0,0,1,0,0,1,0,0,0,10.4180,130.418
F1A, 2017.05.09,A,13,F,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,120.0000,120.0000
F1A, 2017.05.09,A,13,F,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.0000,120.0000
F1A, 2017.05.07,B,13,F, habituation,control, m,17,1,0,0,0,0,0,0,0,0,10.3180,94.449
F1A, 2017.05.07,B,13,F, habituation,control, f,21,0,0,5,0,0,0,0,0,0,0.7040,120.704
F1A, 2017.05.09,B,13,F,experiment,control, nm,17,0,0,4,0,0,0,0,0,0,23.0340,120.42
F1A, 2017.05.09,B,13,F,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.4200,120.42
F1B, 2017.05.07,C,13,F, habituation,control, nm,4,0,0,6,0,0,0,0,0,0,15.2550,131.289
F1B, 2017.05.07,C,13,F, habituation,control, nf,2,0,2,6,0,0,0,0,0,0,24.7860,131.289
F1B, 2017.05.09,C,13,F,experiment,control, m,17,3,0,1,0,0,0,0,0,0,8.0520,24.808
F1B, 2017.05.09,C,13,F,experiment,control, f,3,0,0,2,0,0,0,0,0,0,25.0950,128.052
F1B, 2017.05.07,D,13,F, habituation,control, nm,0,0,0,0,0,0,0,0,0,0,120.9150,120.915
F1B, 2017.05.07,D,13,F, habituation,control, nf,0,0,0,0,0,0,0,0,0,0,120.9150,120.915
F1B, 2017.05.09,D,13,F,experiment,control, m,23,0,0,4,1,0,0,0,0,0,2.6940,121.047
F1B, 2017.05.09,D,13,F,experiment,control, f,8,0,0,1,0,0,0,0,0,0,13.5500,122.694
F1A, 2017.05.07,A,14,S, habituation,control, nm,0,0,0,0,0,0,0,0,0,0,130.4180,130.418
F1A, 2017.05.07,A,14,S, habituation,control, nf,0,0,0,0,0,0,0,0,0,0,130.4180,130.418
F1A, 2017.05.09,A,14,S,experiment,control, m,63,0,0,0,0,0,0,0,0,0,0.0000,120.0000
F1A, 2017.05.09,A,14,S,experiment,control, f,43,0,1,0,0,0,0,0,0,0,0.0000,120.0000
F1A, 2017.05.07,B,14,S, habituation,control, nm,2,0,1,1,0,0,0,0,0,0,68.7560,120.704
F1A, 2017.05.07,B,14,S, habituation,control, nf,8,0,5,4,0,1,0,0,0,0,37.5140,120.704
F1A, 2017.05.09,B,14,S,experiment,control, m,25,0,4,0,0,0,0,0,0,0,7.8230,120.42
F1A, 2017.05.09,B,14,S,experiment,control, f,35,0,5,0,0,0,0,0,0,0,0.4200,120.42
F1B, 2017.05.07,C,14,S, habituation,control, m,4,0,0,2,0,0,0,0,0,0,19.6330,131.289
F1B, 2017.05.07,C,14,S, habituation,control, f,11,0,1,5,0,0,0,0,0,0,11.2890,131.289
F1B, 2017.05.09,C,14,S,experiment,control, nm,2,1,0,1,0,0,0,0,0,0,23.2530,28.269
F1B, 2017.05.09,C,14,S,experiment,control, nf,1,0,0,3,0,0,0,0,0,0,21.2750,128.052
F1B, 2017.05.07,D,14,S, habituation,control, m,52,0,0,1,0,0,0,0,0,0,1.9150,120.915
F1B, 2017.05.07,D,14,S, habituation,control, f,55,0,2,0,0,0,1,0,0,0,0.9150,120.915
F1B, 2017.05.09,D,14,S,experiment,control, nm,0,0,0,0,1,0,0,0,0,0,122.6940,119.045
F1B, 2017.05.09,D,14,S,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,122.6940,122.694
F2A, 2017.05.07,A,15,F, habituation,control, m,24,0,0,4,0,1,0,0,0,0,20.0670,140.067
F2A, 2017.05.07,A,15,F, habituation,control, f,17,0,8,1,0,0,0,0,0,1,20.6170,140.067
F2A, 2017.05.09,A,15,F,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,124.5530,124.553
F2A, 2017.05.09,A,15,F,experiment,control, nf,0,1,2,0,0,0,0,0,0,0,124.5530,78.525
F2A, 2017.05.07,B,15,F, habituation,control, m,3,0,2,2,0,2,0,0,0,1,53.7920,128.191
F2A, 2017.05.07,B,15,F, habituation,control, f,0,0,3,3,0,3,0,0,1,0,57.3450,128.191
F2A, 2017.05.09,B,15,F,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,150.7520,150.752
F2A, 2017.05.09,B,15,F,experiment,control, nf,0,1,3,1,2,0,0,1,0,0,91.4340,70.381
F2B, 2017.05.07,C,15,F, habituation,control, nm,12,0,0,1,0,0,0,0,0,0,25.1630,129.302
F2B, 2017.05.07,C,15,F, habituation,control, nf,0,0,5,1,0,0,0,0,0,0,95.7280,129.302
F2B, 2017.05.09,C,15,F,experiment,control, m,23,0,6,0,0,0,0,0,0,0,8.3220,128.322
F2B, 2017.05.09,C,15,F,experiment,control, f,31,0,2,1,0,1,0,0,0,0,11.3480,128.322
F2B, 2017.05.07,D,15,F, habituation,control, nm,0,0,0,0,0,0,0,0,0,0,152.4610,152.461
F2B, 2017.05.07,D,15,F, habituation,control, nf,0,0,0,0,0,0,0,0,0,0,152.4610,152.461
F2B, 2017.05.09,D,15,F,experiment,control, m,0,0,2,2,3,4,0,0,0,0,23.8830,28.824
F2B, 2017.05.09,D,15,F,experiment,control, f,0,0,5,1,0,1,0,0,0,0,29.8450,143.883
F2A, 2017.05.07,A,16,S, habituation,control, nm,0,0,0,0,0,0,0,0,0,0,140.0670,140.067
F2A, 2017.05.07,A,16,S, habituation,control, nf,0,0,3,1,0,0,0,0,0,0,85.2610,140.067
F2A, 2017.05.09,A,16,S,experiment,control, m,8,0,1,2,5,1,0,0,0,0,4.5530,39.47
F2A, 2017.05.09,A,16,S,experiment,control, f,3,2,1,0,4,1,0,0,0,0,26.3640,4.856
F2A, 2017.05.07,B,16,S, habituation,control, nm,2,0,0,5,0,0,0,0,0,0,8.1910,128.191
